,Application ID,No of times 90 DPD or worse in last 6 months,No of times 60 DPD or worse in last 6 months,No of times 30 DPD or worse in last 6 months,No of times 90 DPD or worse in last 12 months,No of times 60 DPD or worse in last 12 months,No of times 30 DPD or worse in last 12 months,Avgas CC Utilization in last 12 months,No of trades opened in last 6 months,No of trades opened in last 12 months,No of PL trades opened in last 6 months,No of PL trades opened in last 12 months,No of Inquiries in last 6 months (excluding home & auto loans),No of Inquiries in last 12 months (excluding home & auto loans),Presence of open home loan,Outstanding Balance,Total No of Trades,Presence of open auto loan
0,954457215,0,0,0,0,0,0,4,1,2,0,0,0,0,1,2999395,4,0
1,432830445,0,0,0,0,0,0,3,1,2,0,0,0,0,0,3078,5,0
2,941387308,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3004972,2,0
3,392161677,0,0,0,0,0,0,11,1,1,0,0,0,0,1,3355373,4,1
4,182011211,0,0,0,0,0,0,12,0,1,0,0,0,0,1,3014283,4,0
5,312196805,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2569,1,0
6,532217204,0,0,0,0,0,0,11,0,1,0,0,0,0,1,3005535,4,0
7,74788849,0,0,0,0,0,0,13,1,1,0,0,0,0,1,3004790,3,0
8,782743811,0,0,0,0,0,1,9,0,0,0,0,0,0,1,3007428,2,0
9,96964957,0,0,0,0,0,0,6,1,1,0,0,0,0,0,170860,1,1
10,547975524,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1650,2,0
11,521995234,0,0,0,0,0,0,13,0,1,0,0,0,0,1,3193693,2,1
12,896612622,0,0,0,0,0,0,5,1,1,0,0,0,0,1,3765935,2,1
13,179296033,0,0,0,0,0,0,13,1,2,0,0,0,0,1,3008084,2,0
14,951198562,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3726042,1,1
15,268129376,0,0,0,0,0,0,9,0,1,0,0,0,0,1,2995893,3,0
16,229994022,0,0,0,0,0,0,2,1,2,0,0,0,0,0,10938,3,0
17,833334789,0,0,0,0,0,0,5,1,2,0,0,0,0,1,3152020,4,1
18,900107201,0,0,0,0,0,0,4,1,1,0,0,0,0,1,2997130,3,0
