activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1
2020,549300LBCBNR1OT00651,28140,MO,29095,29095013902,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,31,1,2,2,2,145000,NA,3,NA,2,4280.05,NA,995,,4492.87,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189219400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,225000,NA,2.75,NA,2,6889.01,NA,1120,,2500,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189211331,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,145000,NA,2.875,NA,2,5098.47,NA,717,,2.06,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,265000,NA,2.75,NA,2,3585.08,NA,1155,,1155,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312097,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,215000,NA,2.625,NA,2,6672.87,NA,950,,534.72,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189215231,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,395000,NA,3.125,NA,2,1700.27,NA,1155,,1889,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189216700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,345000,NA,3.125,NA,2,1656.8,NA,1155,,1899.33,360,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189221625,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,32,1,2,2,2,225000,NA,3.125,NA,2,2065.45,NA,1155,,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29219,29219820101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,2,1,1,2,2,2,305000,NA,3.75,NA,2,8652.12,NA,1528.31,,500,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29099,29099700303,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,205000,NA,3,NA,2,2589.8,NA,950,,,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189217802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,255000,NA,3,NA,2,1101.27,NA,650,,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29183,29183312096,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,335000,NA,2.75,NA,2,3679.09,NA,1155,,800,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189222100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,185000,NA,3,NA,2,1691.52,NA,1155,,605,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,NA,NA,9,9,4
2020,549300LBCBNR1OT00651,41180,MO,29189,29189215202,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,31,1,2,2,2,185000,NA,3.125,NA,2,1489,NA,1155,,1000,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,NA,NA,9,9,4
